source,target,prediction,exact_match,source_length,target_length,source_length_bucket,target_length_bucket,candidate_rank
أَجِزّ,2ajjiz,2ajjiz,True,6,6,0-9,0-9,4
يَوحِل,ywa77il,ywa77il,True,6,7,0-9,0-9,4
خُمَرْجي,khamarji,khamarji,True,8,8,0-9,0-9,3
شِيد,shayyid,shayyad,False,4,7,0-9,0-9,1
يِزْرَم,yizram,yizram,True,7,6,0-9,0-9,3
مِسْك,masak,massak,False,5,5,0-9,0-9,4
يْرَهْرِط,yrahrit,yrahrit,True,9,7,0-9,0-9,2
شَغَّلهَا تِجَارِي,shughilha tijaari,shughulha tijaari,False,18,17,10-19,10-19,5
شَيَّذ,shayyidh,shayyidh,True,6,8,0-9,0-9,1
عُشُش,3ashshish,3ashshish,True,5,9,0-9,0-9,5
غَصِب,ghassib,ghassib,True,5,7,0-9,0-9,4
نَام عليطة تحكي,naamat 3aleek 7eeta,naamat 3aleek 7eeta,True,15,19,10-19,10-19,1
وَلَع لِيك,wall 3aleek,wall 3aleek,True,10,11,10-19,10-19,4
حِيلِة,7iile,7iile,True,6,5,0-9,0-9,2
بِيَارَة,bayyaara,bayyaara,True,8,8,0-9,0-9,3
أَهْوَن بَلَا,2ahwan bala,2ahwan bala,True,13,11,10-19,10-19,1
كَعَك مْخَمَر,ka3ik mkhammar,ka3ik mkhammar,True,13,14,10-19,10-19,5
آب,2aabaa2,2aab,False,2,7,0-9,0-9,4
خَرْقَة,khirka,khirqka,False,7,6,0-9,0-9,2
يِتْسَاجَم,yitsaamaj,yitsaamaj,True,10,9,10-19,0-9,2
تْهَازَم,thaamaz,thaazam,False,8,7,0-9,0-9,4
مْقَمَّط,mqammat,mqammat,True,8,7,0-9,0-9,1
غُيب,ghayyib,ghayyib,True,4,7,0-9,0-9,5
قَلُّوز,2alwaz,2alwiz,False,7,6,0-9,0-9,5
شِفَعَاء,shufa3aa2,shufa3aa2,True,8,9,0-9,0-9,3
فَتْنِة,fitne,fatne,False,7,5,0-9,0-9,1
اِتْغَنْشَم,2itghashman,2itghashman,True,11,11,10-19,10-19,3
حِمِد,7amad,7ammid,False,5,5,0-9,0-9,5
شَيِّن,shayyan,shayyan,True,6,7,0-9,0-9,2
مْسَاهَمِة,musaahame,musaahame,True,10,9,10-19,0-9,3
اِتْبَلْكَم,2itbalkam,2itbalkam,True,11,9,10-19,0-9,2
يخَطِّو,yikhtu,yikhtu,True,7,6,0-9,0-9,4
بَحْزِة,ba7aze,ba7ze,False,7,6,0-9,0-9,2
حَزْمِة,7uzme,7izme,False,7,5,0-9,0-9,2
يُلْطُم,ylattim,yultum,False,7,7,0-9,0-9,1
اِعْلَن,2i3lin,2i3lin,True,7,6,0-9,0-9,4
دَرَّب,darrab,darrab,True,6,6,0-9,0-9,3
اِتْجَحَّر,2it7ajjar,2it7ajjar,True,10,9,10-19,0-9,2
يِدْمِج,yidmij,yidmij,True,7,6,0-9,0-9,1
إِن,2inn,2inn,True,3,4,0-9,0-9,2
اُحْرُن,2i7ran,2i7rin,False,7,6,0-9,0-9,3
أَسْنان,2asnaan,2asnaan,True,7,7,0-9,0-9,5
فُتْرِي,fatri,fatri,True,7,5,0-9,0-9,4
تَمَالُح,tmaala7,tmaala7,True,8,7,0-9,0-9,4
صَيَانِة,siyaane,siyaane,True,8,7,0-9,0-9,4
