source,target,prediction,exact_match,source_length,target_length,source_length_bucket,target_length_bucket
zarzib,زرزب,زرزب,True,6,4,0-9,0-9
2il kikh 2akhu 2ilkhara,الكخ أخو الخرا,الخ إخالكر,False,23,14,20-29,10-19
maqlab,مقلب,مقلب,True,6,4,0-9,0-9
2ikda7,اكدح,اكدح,True,6,4,0-9,0-9
batrakh,بطرخ,بطرخ,True,7,4,0-9,0-9
ya22is,يئس,يؤئس,False,6,3,0-9,0-9
qa7at,قحط,قحط,True,5,3,0-9,0-9
jariimit sharaf,جريمة شرف,جريمة شراف,False,15,9,10-19,0-9
waffiq,وفق,وفق,True,6,3,0-9,0-9
7izib,حزب,حذب,False,5,3,0-9,0-9
2infitim,انفطم,انفطم,True,8,5,0-9,0-9
khawaabi,خوابي,خوابي,True,8,5,0-9,0-9
nawaaqis,نواقص,نواقس,False,8,5,0-9,0-9
yrab3in,يربعن,يربعن,True,7,5,0-9,0-9
nawaashif,نواشف,نواشف,True,9,5,0-9,0-9
shkhaar,شخار,شخار,True,7,4,0-9,0-9
yinkabb,ينكب,ينكب,True,7,4,0-9,0-9
qabadit,قبضت,قبادت,False,7,4,0-9,0-9
leewa,ليوا,ليوة,False,5,4,0-9,0-9
sara7,سرح,صرح,False,5,3,0-9,0-9
wada3,وضع,ودع,False,5,3,0-9,0-9
mabtuu7,مبطوح,مبطوح,True,7,5,0-9,0-9
tarri7,ترح,ترح,True,6,3,0-9,0-9
ma2luuf,مألوف,مؤلوف,False,7,5,0-9,0-9
2itfaaja2,اتفاجأ,اتفاجأ,True,9,6,0-9,0-9
shaa3iri,شاعري,شاعير,False,8,5,0-9,0-9
waalid,والد,والد,True,6,4,0-9,0-9
yilwi7,يلوح,يلوح,True,6,4,0-9,0-9
mta77ish,مطحش,مطحش,True,8,4,0-9,0-9
faad,فاض,فاد,False,4,3,0-9,0-9
tu7fe,تحفة,طحفة,False,5,4,0-9,0-9
2injirid,انجرد,انجرد,True,8,5,0-9,0-9
tqahwatgahwa,تقهوى,تقهوى,True,12,5,10-19,0-9
laa raqiib wala 7asiib,لا رقيب ولا حسيب,لا رقي بيص صاحبيل,False,22,16,20-29,10-19
2i3taqad,اعتقد,اعتقد,True,8,5,0-9,0-9
jaa3,جاع,جاع,True,4,3,0-9,0-9
yiqni3,يقنع,يقنع,True,6,4,0-9,0-9
2istadrit,استضرط,استضرط,True,9,6,0-9,0-9
ytiff,يتف,يتف,True,5,3,0-9,0-9
kilme,كلمة,كلمة,True,5,4,0-9,0-9
2in3aash,إنعاش,انعاش,False,8,5,0-9,0-9
booshit mili7,بوشة ملح,بيشته ملحو,False,13,8,10-19,0-9
tnaasal,تناسل,تناصل,False,7,5,0-9,0-9
zahab,ذهب,زهب,False,5,3,0-9,0-9
tnassal,تنصل,تنصل,True,7,4,0-9,0-9
2unghuz,انغز,انغز,True,7,4,0-9,0-9
mtabbi3,مطبع,مطبع,True,7,4,0-9,0-9
ziyaara,زيارة,زيارة,True,7,5,0-9,0-9
7allaq,حلق,حلق,True,6,3,0-9,0-9
khaddir,خدر,خدر,True,7,3,0-9,0-9
mshafshaf,مشفشف,مشفشف,True,9,5,0-9,0-9
2ikhtishi,اختشى,اختشي,False,9,5,0-9,0-9
2aqtab,أقتب,أقطب,False,6,4,0-9,0-9
taqaariir,تقارير,تقارير,True,9,6,0-9,0-9
zukaam,زكام,ذكام,False,6,4,0-9,0-9
mkammil,مكمل,مكمل,True,7,4,0-9,0-9
twatwat,توتوت,توتوت,True,7,5,0-9,0-9
msharrish,مشرش,مشرش,True,9,4,0-9,0-9
7daade,حدادة,حدادة,True,6,5,0-9,0-9
mfabrak,مفبرك,مفبرك,True,7,5,0-9,0-9
khaan 2il3ishre,خان العشرة,خنا العشرة,False,15,10,10-19,10-19
m7azzir,محذر,محظر,False,7,4,0-9,0-9
talhiine,طلهينة,تلهينة,False,8,6,0-9,0-9
tlaqwaj,تلقوج,تلقوج,True,7,5,0-9,0-9
3a blata,عبلاطة,عبل طاطة,False,8,6,0-9,0-9
bighamdit 3een,بغمضة عين,بغمة دني,False,14,9,10-19,0-9
madaabi7,مذابح,مضابح,False,8,5,0-9,0-9
min rii7it,من ريحة,من ريحت,False,10,7,10-19,0-9
tlayyaf,تليف,تليف,True,7,4,0-9,0-9
2awaadim,أوادم,أوادم,True,8,5,0-9,0-9
mnooqir,منوقر,منوقر,True,7,5,0-9,0-9
qarsa,قرصة,قرصة,True,5,4,0-9,0-9
3attab,عطب,عطب,True,6,3,0-9,0-9
3asali,عسلي,عصالي,False,6,4,0-9,0-9
namiime,نميمة,نميمة,True,7,5,0-9,0-9
basaabiis,بسابيس,بصابيص,False,9,6,0-9,0-9
niil,نيل,نيل,True,4,3,0-9,0-9
khayyar,خير,خير,True,7,3,0-9,0-9
qubbe,قبة,قبة,True,5,3,0-9,0-9
shafii3,شفيع,شفيع,True,7,4,0-9,0-9
yighraq,يغرق,يغرق,True,7,4,0-9,0-9
2itghaaba,اتغابى,اتغابى,True,9,6,0-9,0-9
rakad,ركض,ركض,True,5,3,0-9,0-9
laqaf,لقف,لقف,True,5,3,0-9,0-9
ta3aariif,تعاريف,تعاريف,True,9,6,0-9,0-9
yishkhat,يشخت,يشخط,False,8,4,0-9,0-9
2ir2as,ارأس,ارأس,True,6,4,0-9,0-9
2itmassak,اتمسك,اتمسك,True,9,5,0-9,0-9
hadhrib,هذرب,هذرب,True,7,4,0-9,0-9
2itkhoona2,اتخونق,اتخونق,True,10,6,10-19,0-9
raqas,رقص,رقص,True,5,3,0-9,0-9
2iido wilkaf,إيده والكف,إيده وكلف,False,12,10,10-19,10-19
khweetme,خويتمة,خويتم,False,8,6,0-9,0-9
tannish,طنش,طنش,True,7,3,0-9,0-9
khaafi2,خافق,خافئ,False,7,4,0-9,0-9
sabarda7a,سبردحة,سبردحة,True,9,6,0-9,0-9
dawaahi,دواهي,دواهي,True,7,5,0-9,0-9
2i3lu,اعلو,اعلو,True,5,4,0-9,0-9
yitnaafas,يتنافس,يتنافس,True,9,6,0-9,0-9
2uushim,اوشم,اوشم,True,7,4,0-9,0-9
yitnammar,يتنمر,يتنمر,True,9,5,0-9,0-9
dmuu3 2ilfara7,دموع الفرح,دموع الفارح,False,14,10,10-19,10-19
2abu nuss lsaan,أبو نص لسان,أبو نصل سلان,False,15,11,10-19,10-19
ysuur,يثور,يسور,False,5,4,0-9,0-9
buruud,برود,بروض,False,6,4,0-9,0-9
yitzayyan,يتزين,يتزين,True,9,5,0-9,0-9
yirtadd,يرتد,يرتد,True,7,4,0-9,0-9
qattuum,قطوم,قطوم,True,7,4,0-9,0-9
ramaadi,رمادي,رماضي,False,7,5,0-9,0-9
ylaqqib,يلقب,يلقب,True,7,4,0-9,0-9
ydjalghif,يجلغف,يجلغف,True,9,5,0-9,0-9
2i3jaaz,إعجاز,اعجاز,False,7,5,0-9,0-9
rabrib,ربرب,ربرب,True,6,4,0-9,0-9
maqbuul,مقبول,مقبول,True,7,5,0-9,0-9
mza33il,مزعل,مزعل,True,7,4,0-9,0-9
taltiish,تلطيش,تلطيش,True,8,5,0-9,0-9
yitqabbas,اتقبص,يتقبص,False,9,5,0-9,0-9
2itwaata,اتواطى,اتواطى,True,8,6,0-9,0-9
2i3laq,اعلق,اعلق,True,6,4,0-9,0-9
kabaabiit,كبابيت,كبابيت,True,9,6,0-9,0-9
2isqil,اصقل,اسقل,False,6,4,0-9,0-9
minshiki7,منشكح,منشكح,True,9,5,0-9,0-9
wasle,وصلة,وصلة,True,5,4,0-9,0-9
2iriyaa7,رياح,إرياح,False,8,4,0-9,0-9
7kaaye,حكاية,حكاية,True,6,5,0-9,0-9
darat,ضرط,درط,False,5,3,0-9,0-9
taqtiq,طقطق,طقطق,True,6,4,0-9,0-9
2aazir,آزر,آذر,False,6,3,0-9,0-9
yzaqriq,يزقرق,يزقرق,True,7,5,0-9,0-9
