direction,source,target,prediction,exact_match,source_length,target_length
arabic_to_arabizi,وصية,wasiyye,wasiye,False,4,7
arabic_to_arabizi,ينتزع,yintizi3,yintizi3,True,5,8
arabic_to_arabizi,انخفى,2inkhafa,2inkhafa,True,5,8
arabic_to_arabizi,مرتبان,martabaan,murtabaan,False,6,9
arabizi_to_arabic,faqqiq,فقق,فقق,True,6,3
arabic_to_arabizi,حابى,7aaba,7aaba,True,4,5
arabizi_to_arabic,mafluuj,مفلوج,مفلوج,True,7,5
arabic_to_arabizi,متحيز,muta7ayyiz,mit7azzi,False,5,10
arabic_to_arabizi,اجتهد,2ijtahid,2ijtahad,False,5,8
arabizi_to_arabic,ma7aabis,محابس,محابس,True,8,5
arabic_to_arabizi,اعطب,2i3tab,2i3tab,True,4,6
arabizi_to_arabic,ghalla,غلى,غلا,False,6,3
arabic_to_arabizi,لعية,la3ye,la3iyye,False,4,5
arabic_to_arabizi,هجم,hajam,hajjam,False,3,5
arabic_to_arabizi,يتدافش,yiddaafash,yiddaafash,True,6,10
arabic_to_arabizi,ضارب,darib,daarib,False,4,5
arabizi_to_arabic,yidmul,يدمل,يدمل,True,6,4
arabic_to_arabizi,بذور,buzuur,bazwar,False,4,6
arabizi_to_arabic,yitjawwal,يتجول,يتجول,True,9,5
arabic_to_arabizi,مندمج,mindimij,mundajim,False,5,8
arabizi_to_arabic,tlabbas,تلبس,تلبس,True,7,4
arabic_to_arabizi,انفتل,2infitil,2infitil,True,5,8
arabizi_to_arabic,hallas,هلس,هلص,False,6,3
arabic_to_arabizi,معتم,m3attim,m3attam,False,4,7
arabic_to_arabizi,يتسيج,yitsayyaj,yitsayyaj,True,5,9
arabic_to_arabizi,اتكلكع,2itkalka3,2itkalka3,True,6,9
arabic_to_arabizi,انرفس,2inrafas,2inrifis,False,5,8
arabizi_to_arabic,3arqal,عرقل,عرقل,True,6,4
arabic_to_arabizi,استقطب,2istaqtib,2istaqtib,True,6,9
arabizi_to_arabic,siddaa7i middaa7i,سداحي مداحي,سداح حميدي,False,17,11
arabic_to_arabizi,امعط,2im3at,2im3at,True,4,6
arabic_to_arabizi,ابعز,2ib3az,2ib3az,True,4,6
arabic_to_arabizi,سمقة,samaga,samqa,False,4,6
arabizi_to_arabic,ti3ib,تعب,طعب,False,5,3
arabic_to_arabizi,ضبضب,dabdib,dabdab,False,4,6
arabizi_to_arabic,jarii2,جريئ,جريئ,True,6,4
arabic_to_arabizi,غطاء,ghitaa2,ghutaa2,False,4,7
arabizi_to_arabic,3awaasif,عواصف,عواصف,True,8,5
arabic_to_arabizi,عصب,3asab,3assab,False,3,5
arabic_to_arabizi,اندل,2indall,2indall,True,4,7
arabic_to_arabizi,كعب عالي,ka3ib 3aali,ka3ab 2il3i,False,8,11
arabic_to_arabizi,يشبرخ,yshabrikh,yshabrikh,True,5,9
arabizi_to_arabic,y3arrid,يعرد,يعرض,False,7,4
arabic_to_arabizi,غسل,ghassil,ghassal,False,3,7
arabic_to_arabizi,شحتف,sha7tif,sha7tif,True,4,7
arabizi_to_arabic,y3anqir,يعنقر,يعنقر,True,7,5
arabizi_to_arabic,madruuz,مدروز,مدروز,True,7,5
arabic_to_arabizi,إكراه,2ikraah,2ikraah,True,5,7
arabic_to_arabizi,مندوب المبيعات,manduub 2ilmabii3aat,mindub 2ilmaa3it,False,14,20
arabizi_to_arabic,ynabbih,ينبه,ينبه,True,7,4
arabic_to_arabizi,بخت,bakhkhat,bakhkhit,False,3,8
arabic_to_arabizi,قول,quul,qawwil,False,3,4
arabic_to_arabizi,مزراب,muzraab,mazraab,False,5,7
arabizi_to_arabic,shaa3ir,شاعر,شاعر,True,7,4
arabizi_to_arabic,qawwil,قول,قول,True,6,3
arabizi_to_arabic,mataali3,مطالع,مطالع,True,8,5
arabic_to_arabizi,قصار,qassaar,qassaar,True,4,7
arabic_to_arabizi,شطح,shata7,shatti7,False,3,6
arabizi_to_arabic,wahab,وهب,وهب,True,5,3
arabic_to_arabizi,أنبياء,2anbiyaa2,2anbiyaa2,True,6,9
arabizi_to_arabic,ghizlaan,غزلان,غزلان,True,8,5
arabizi_to_arabic,mitbin,متبن,مطبن,False,6,4
arabizi_to_arabic,t7abraq,تحبرق,تحبرق,True,7,5
arabizi_to_arabic,rutabe,رطبة,رطبة,True,6,4
arabic_to_arabizi,أرجل,2argal,2arjal,False,4,6
arabizi_to_arabic,mish qaliil,مش قليل,مش قليل,True,11,7
arabic_to_arabizi,نول,nawwil,nawwil,True,3,6
arabizi_to_arabic,3akkaz,عكز,عكز,True,6,3
arabic_to_arabizi,استغفر,2istaghfar,2istaghfir,False,6,10
arabic_to_arabizi,قديش,qaddeesh,qadiish,False,4,8
arabic_to_arabizi,يتسبب,yitsabbab,yitsabbab,True,5,9
arabizi_to_arabic,ghashshiish,غشيش,غشيش,True,11,4
arabic_to_arabizi,قريد العش,qreed 2il3ishsh,qariid 2il3ash,False,9,15
arabic_to_arabizi,دفدف,dafdaf,dafdif,False,4,6
arabic_to_arabizi,أخف من ريشتين على جمل,2akhaff min riishteen 3ala jamal,khaffal min mishri 2aljaliit 3een,False,21,32
arabic_to_arabizi,أذاع,2azaa3,2azaa3,True,4,6
arabic_to_arabizi,مطعوج,mta3waj,mat3uuj,False,5,7
arabizi_to_arabic,2inghamm,انغم,انغم,True,8,4
arabic_to_arabizi,اقشع,2iqsha3,2iqsha3,True,4,7
arabic_to_arabizi,خيس,khees,khayyis,False,3,5
arabic_to_arabizi,يتهاوش,yithaawash,yithaawash,True,6,10
arabic_to_arabizi,اسعف,2is3if,2is3af,False,4,6
arabizi_to_arabic,2i3taqad,اعتقد,اعتقد,True,8,5
arabizi_to_arabic,shuduf,شدف,شدوف,False,6,3
arabic_to_arabizi,ألوان,2alwaan,2alwaan,True,5,7
arabizi_to_arabic,tabaashiir,طباشير,تباشير,False,10,6
arabizi_to_arabic,shu77,شح,شح,True,5,2
arabic_to_arabizi,طمن,tammin,tammin,True,3,6
arabizi_to_arabic,khirka,خرقة,خراك,False,6,4
arabic_to_arabizi,يتهته,ytahtih,yithattat,False,5,7
arabizi_to_arabic,ykhartish,يخرطش,يخرطش,True,9,5
arabic_to_arabizi,انشق,2inshaqq,2inshaqq,True,4,8
arabic_to_arabizi,خصوصي,khsuusi,khaswiis,False,5,7
arabizi_to_arabic,madfan,مدفن,مدفن,True,6,4
arabizi_to_arabic,7ashshi,حشي,حشي,True,7,3
arabizi_to_arabic,yitshaghnaf,يتشغنف,يتشفغن,False,11,6
arabizi_to_arabic,daaq,ذاق,داق,False,4,3
arabizi_to_arabic,yrakhkhis,يرخص,يرخص,True,9,4
arabic_to_arabizi,نشافة,nashshaafe,nashshaafe,True,5,10
arabic_to_arabizi,عرط,3arrit,3arrat,False,3,6
arabic_to_arabizi,محتال,mu7taal,mi7taal,False,5,7
arabic_to_arabizi,مصور,musawwar,msawwir,False,4,8
arabizi_to_arabic,7ammis,حمس,حمس,True,6,3
arabic_to_arabizi,عنى,3ana,3anna,False,3,4
arabic_to_arabizi,قصيرة,qassiire,qasiira,False,5,8
arabic_to_arabizi,خض,khudd,khadd,False,2,5
arabizi_to_arabic,3irzaan,عرزان,عرزان,True,7,5
arabizi_to_arabic,2idda3bab,تدعبب,تدعببب,False,9,5
arabizi_to_arabic,khaayikh,خايخ,خايخ,True,8,4
arabic_to_arabizi,تكتل,tkattal,tkattal,True,4,7
arabizi_to_arabic,mataajir,متاجر,مطاجر,False,8,5
arabic_to_arabizi,آخي,2aakhi,2aakhi,True,3,6
arabic_to_arabizi,بكى,baka,bakka,False,3,4
arabizi_to_arabic,mu3aasir,معاصر,معاصر,True,8,5
arabic_to_arabizi,دم الزغلول,damm 2izzaghluul,dum 2izzaghluul,False,10,16
arabizi_to_arabic,yindugh,يندغ,يندغ,True,7,4
arabizi_to_arabic,tshayyak,تشيك,تشيك,True,8,4
arabizi_to_arabic,3awar,عور,عور,True,5,3
arabic_to_arabizi,أنعم,2an3am,2an3am,True,4,6
arabic_to_arabizi,مخمج,mkhammij,mkhajjim,False,4,8
arabic_to_arabizi,تعثر,t3attar,t3attar,True,4,7
arabic_to_arabizi,ماطل,maatal,maatil,False,4,6
arabic_to_arabizi,يتمسح,ytamsi7,yitmassa7,False,5,7
arabizi_to_arabic,7ashfash,حشفش,حشفش,True,8,4
arabic_to_arabizi,فقر,faqqir,faqqar,False,3,6
arabic_to_arabizi,تصرف,tasarruf,tsarraf,False,4,8
arabizi_to_arabic,2insafakh,انسفخ,انسفخ,True,9,5
arabizi_to_arabic,yuuras,يورث,يورث,True,6,4
arabic_to_arabizi,متانة,mataane,mutaane,False,5,7
arabizi_to_arabic,dabke,دبكة,دبكة,True,5,4
arabic_to_arabizi,عظمة لساني,3admit lsaani,3azmit 2ilsaaniyye,False,10,13
arabic_to_arabizi,أرساغ,2arsaagh,2arsaagh,True,5,8
arabic_to_arabizi,خبل,khabal,khabbal,False,3,6
arabic_to_arabizi,جمال,jammaal,jamaal,False,4,7
arabizi_to_arabic,2ikhdar,إخضر,اخدر,False,7,4
arabizi_to_arabic,huwash,هوش,هوش,True,6,3
arabizi_to_arabic,mitlabbid,متلبد,متلبد,True,9,5
arabic_to_arabizi,بليطة,balliite,baliita,False,5,8
arabizi_to_arabic,tqaasam,تقاسم,تقاسم,True,7,5
arabizi_to_arabic,ra3ad,رعد,رعد,True,5,3
arabic_to_arabizi,يقرقر,ygargir,yqarqir,False,5,7
arabic_to_arabizi,كديش,kdiish,kadiish,False,4,6
arabic_to_arabizi,مج,midjdj,majj,False,2,6
arabic_to_arabizi,ينقرا,yinqara,yinqara,True,5,7
arabic_to_arabizi,ود,wadd,wadd,True,2,4
arabizi_to_arabic,fii btimmak 7aki,في بثمك حكي,في بتحك مكي,False,16,11
arabizi_to_arabic,naqad,نقض,نقد,False,5,3
arabic_to_arabizi,جيفة,jiife,jiife,True,4,5
arabizi_to_arabic,ma7shi,محشي,محشي,True,6,4
arabizi_to_arabic,haftaan,هفتان,هفتان,True,7,5
arabizi_to_arabic,naab,ناب,ناب,True,4,3
arabic_to_arabizi,اتقطب,2itqattab,2itqattab,True,5,9
arabic_to_arabizi,حراك,7iraak,7raak,False,4,6
arabizi_to_arabic,da33if,ضعف,دعف,False,6,3
arabic_to_arabizi,هربة,hrubbe,harbe,False,4,6
arabic_to_arabizi,اتمرق,2itmarraq,2itmarraq,True,5,9
arabic_to_arabizi,يوقن,yuuqin,ywaqqin,False,4,6
arabic_to_arabizi,عريس,3ariis,3ariis,True,4,6
arabic_to_arabizi,يرى,yara,yra,False,3,4
arabizi_to_arabic,ra22at,رقط,رأط,False,6,3
arabizi_to_arabic,3amaara,عمارة,عمارة,True,7,5
arabic_to_arabizi,ويا دار ما دخلك شر,wuyaa daar maa dakhkhalik shar,weed 2idraa mikhshar khala,False,18,30
arabic_to_arabizi,يعفكش,y3afkish,y3afkish,True,5,8
arabizi_to_arabic,maa3indo diqin 2immashshatta,ماعنده ذقن ممشطة,ماعنده مثق الشته,False,28,16
arabizi_to_arabic,2ikir,عكر,اكر,False,5,3
arabic_to_arabizi,خجول,khajuul,khoojil,False,4,7
arabizi_to_arabic,djibab,جبب,جبب,True,6,3
arabizi_to_arabic,ja3ja3,جعجع,جعجع,True,6,4
arabic_to_arabizi,يبرق,ybarriq,ybarriq,True,4,7
arabizi_to_arabic,bawwaabe,بوابة,بوابة,True,8,5
arabizi_to_arabic,bi7ki labalad,بيحكي لبلد,بيحك بلد,False,13,10
arabizi_to_arabic,bakradj,بكرج,بكرج,True,7,4
arabic_to_arabizi,شيوخ,shyuukh,shaywikh,False,4,7
arabizi_to_arabic,mallis,ملس,ملس,True,6,3
arabic_to_arabizi,مطيز,mtayyiz,mtayyiz,True,4,7
arabic_to_arabizi,كدمة,kadme,kadme,True,4,5
arabic_to_arabizi,اتفاقية,2ittifaaqiyye,2itfaaqiyye,False,7,13
arabizi_to_arabic,yushrum,يشرم,يشرم,True,7,4
