epoch,split,length_bucket,correct,total,sequence_accuracy
1,val,0-9,0,3200,0.0
1,val,10-19,0,211,0.0
1,val,20-29,0,31,0.0
1,val,30-39,0,3,0.0
1,val,40-49,0,2,0.0
1,val,50-59,0,2,0.0
2,val,0-9,0,3200,0.0
2,val,10-19,0,211,0.0
2,val,20-29,0,31,0.0
2,val,30-39,0,3,0.0
2,val,40-49,0,2,0.0
2,val,50-59,0,2,0.0
3,val,0-9,0,3200,0.0
3,val,10-19,0,211,0.0
3,val,20-29,0,31,0.0
3,val,30-39,0,3,0.0
3,val,40-49,0,2,0.0
3,val,50-59,0,2,0.0
4,val,0-9,6,3200,0.001875
4,val,10-19,0,211,0.0
4,val,20-29,0,31,0.0
4,val,30-39,0,3,0.0
4,val,40-49,0,2,0.0
4,val,50-59,0,2,0.0
5,val,0-9,50,3200,0.015625
5,val,10-19,0,211,0.0
5,val,20-29,0,31,0.0
5,val,30-39,0,3,0.0
5,val,40-49,0,2,0.0
5,val,50-59,0,2,0.0
6,val,0-9,116,3200,0.03625
6,val,10-19,0,211,0.0
6,val,20-29,0,31,0.0
6,val,30-39,0,3,0.0
6,val,40-49,0,2,0.0
6,val,50-59,0,2,0.0
7,val,0-9,212,3200,0.06625
7,val,10-19,0,211,0.0
7,val,20-29,0,31,0.0
7,val,30-39,0,3,0.0
7,val,40-49,0,2,0.0
7,val,50-59,0,2,0.0
8,val,0-9,347,3200,0.1084375
8,val,10-19,0,211,0.0
8,val,20-29,0,31,0.0
8,val,30-39,0,3,0.0
8,val,40-49,0,2,0.0
8,val,50-59,0,2,0.0
9,val,0-9,460,3200,0.14375
9,val,10-19,0,211,0.0
9,val,20-29,0,31,0.0
9,val,30-39,0,3,0.0
9,val,40-49,0,2,0.0
9,val,50-59,0,2,0.0
10,val,0-9,579,3200,0.1809375
10,val,10-19,0,211,0.0
10,val,20-29,0,31,0.0
10,val,30-39,0,3,0.0
10,val,40-49,0,2,0.0
10,val,50-59,0,2,0.0
11,val,0-9,700,3200,0.21875
11,val,10-19,0,211,0.0
11,val,20-29,0,31,0.0
11,val,30-39,0,3,0.0
11,val,40-49,0,2,0.0
11,val,50-59,0,2,0.0
12,val,0-9,732,3200,0.22875
12,val,10-19,0,211,0.0
12,val,20-29,0,31,0.0
12,val,30-39,0,3,0.0
12,val,40-49,0,2,0.0
12,val,50-59,0,2,0.0
13,val,0-9,808,3200,0.2525
13,val,10-19,0,211,0.0
13,val,20-29,0,31,0.0
13,val,30-39,0,3,0.0
13,val,40-49,0,2,0.0
13,val,50-59,0,2,0.0
14,val,0-9,891,3200,0.2784375
14,val,10-19,0,211,0.0
14,val,20-29,0,31,0.0
14,val,30-39,0,3,0.0
14,val,40-49,0,2,0.0
14,val,50-59,0,2,0.0
15,val,0-9,830,3200,0.259375
15,val,10-19,0,211,0.0
15,val,20-29,0,31,0.0
15,val,30-39,0,3,0.0
15,val,40-49,0,2,0.0
15,val,50-59,0,2,0.0
16,val,0-9,1050,3200,0.328125
16,val,10-19,0,211,0.0
16,val,20-29,0,31,0.0
16,val,30-39,0,3,0.0
16,val,40-49,0,2,0.0
16,val,50-59,0,2,0.0
17,val,0-9,982,3200,0.306875
17,val,10-19,0,211,0.0
17,val,20-29,0,31,0.0
17,val,30-39,0,3,0.0
17,val,40-49,0,2,0.0
17,val,50-59,0,2,0.0
18,val,0-9,1102,3200,0.344375
