epoch,split,length_bucket,correct,total,sequence_accuracy
1,val,0-9,0,2516,0.0
1,val,10-19,0,829,0.0
1,val,20-29,0,77,0.0
1,val,30-39,0,17,0.0
1,val,40-49,0,5,0.0
1,val,50-59,0,3,0.0
1,val,60-69,0,2,0.0
2,val,0-9,0,2516,0.0
2,val,10-19,0,829,0.0
2,val,20-29,0,77,0.0
2,val,30-39,0,17,0.0
2,val,40-49,0,5,0.0
2,val,50-59,0,3,0.0
2,val,60-69,0,2,0.0
3,val,0-9,0,2516,0.0
3,val,10-19,0,829,0.0
3,val,20-29,0,77,0.0
3,val,30-39,0,17,0.0
3,val,40-49,0,5,0.0
3,val,50-59,0,3,0.0
3,val,60-69,0,2,0.0
4,val,0-9,0,2516,0.0
4,val,10-19,0,829,0.0
4,val,20-29,0,77,0.0
4,val,30-39,0,17,0.0
4,val,40-49,0,5,0.0
4,val,50-59,0,3,0.0
4,val,60-69,0,2,0.0
5,val,0-9,2,2516,0.000794912559618442
5,val,10-19,0,829,0.0
5,val,20-29,0,77,0.0
5,val,30-39,0,17,0.0
5,val,40-49,0,5,0.0
5,val,50-59,0,3,0.0
5,val,60-69,0,2,0.0
6,val,0-9,8,2516,0.003179650238473768
6,val,10-19,1,829,0.0012062726176115801
6,val,20-29,0,77,0.0
6,val,30-39,0,17,0.0
6,val,40-49,0,5,0.0
6,val,50-59,0,3,0.0
6,val,60-69,0,2,0.0
7,val,0-9,42,2516,0.016693163751987282
7,val,10-19,3,829,0.0036188178528347406
7,val,20-29,0,77,0.0
7,val,30-39,0,17,0.0
7,val,40-49,0,5,0.0
7,val,50-59,0,3,0.0
7,val,60-69,0,2,0.0
8,val,0-9,68,2516,0.02702702702702703
8,val,10-19,12,829,0.014475271411338963
8,val,20-29,0,77,0.0
8,val,30-39,0,17,0.0
8,val,40-49,0,5,0.0
8,val,50-59,0,3,0.0
8,val,60-69,0,2,0.0
9,val,0-9,137,2516,0.05445151033386327
9,val,10-19,16,829,0.019300361881785282
9,val,20-29,0,77,0.0
9,val,30-39,0,17,0.0
9,val,40-49,0,5,0.0
9,val,50-59,0,3,0.0
9,val,60-69,0,2,0.0
10,val,0-9,161,2516,0.06399046104928457
10,val,10-19,26,829,0.031363088057901084
10,val,20-29,0,77,0.0
10,val,30-39,0,17,0.0
10,val,40-49,0,5,0.0
10,val,50-59,0,3,0.0
10,val,60-69,0,2,0.0
11,val,0-9,199,2516,0.07909379968203498
11,val,10-19,31,829,0.03739445114595899
11,val,20-29,0,77,0.0
11,val,30-39,0,17,0.0
11,val,40-49,0,5,0.0
11,val,50-59,0,3,0.0
11,val,60-69,0,2,0.0
12,val,0-9,242,2516,0.09618441971383147
12,val,10-19,32,829,0.038600723763570564
12,val,20-29,0,77,0.0
12,val,30-39,0,17,0.0
12,val,40-49,0,5,0.0
12,val,50-59,0,3,0.0
12,val,60-69,0,2,0.0
13,val,0-9,282,2516,0.11208267090620032
13,val,10-19,64,829,0.07720144752714113
13,val,20-29,0,77,0.0
13,val,30-39,0,17,0.0
13,val,40-49,0,5,0.0
13,val,50-59,0,3,0.0
13,val,60-69,0,2,0.0
14,val,0-9,284,2516,0.11287758346581876
14,val,10-19,65,829,0.07840772014475271
14,val,20-29,0,77,0.0
14,val,30-39,0,17,0.0
14,val,40-49,0,5,0.0
14,val,50-59,0,3,0.0
14,val,60-69,0,2,0.0
15,val,0-9,364,2516,0.14467408585055644
15,val,10-19,88,829,0.10615199034981906
15,val,20-29,0,77,0.0
15,val,30-39,0,17,0.0
15,val,40-49,0,5,0.0
15,val,50-59,0,3,0.0
15,val,60-69,0,2,0.0
16,val,0-9,384,2516,0.15262321144674085
16,val,10-19,91,829,0.1097708082026538
16,val,20-29,0,77,0.0
16,val,30-39,0,17,0.0
16,val,40-49,0,5,0.0
16,val,50-59,0,3,0.0
16,val,60-69,0,2,0.0
17,val,0-9,408,2516,0.16216216216216217
17,val,10-19,113,829,0.13630880579010857
17,val,20-29,0,77,0.0
17,val,30-39,0,17,0.0
17,val,40-49,0,5,0.0
17,val,50-59,0,3,0.0
17,val,60-69,0,2,0.0
18,val,0-9,452,2516,0.17965023847376788
18,val,10-19,113,829,0.13630880579010857
18,val,20-29,0,77,0.0
18,val,30-39,0,17,0.0
18,val,40-49,0,5,0.0
18,val,50-59,0,3,0.0
18,val,60-69,0,2,0.0
19,val,0-9,519,2516,0.20627980922098568
19,val,10-19,116,829,0.1399276236429433
19,val,20-29,0,77,0.0
19,val,30-39,0,17,0.0
19,val,40-49,0,5,0.0
19,val,50-59,0,3,0.0
19,val,60-69,0,2,0.0
20,val,0-9,552,2516,0.21939586645468998
20,val,10-19,137,829,0.1652593486127865
20,val,20-29,0,77,0.0
20,val,30-39,0,17,0.0
20,val,40-49,0,5,0.0
20,val,50-59,0,3,0.0
20,val,60-69,0,2,0.0
21,val,0-9,554,2516,0.22019077901430842
21,val,10-19,125,829,0.15078407720144751
21,val,20-29,0,77,0.0
21,val,30-39,0,17,0.0
21,val,40-49,0,5,0.0
21,val,50-59,0,3,0.0
21,val,60-69,0,2,0.0
22,val,0-9,580,2516,0.23052464228934816
22,val,10-19,164,829,0.19782870928829915
