epoch,split,length_bucket,correct,total,sequence_accuracy
1,val,0-9,0,2516,0.0
1,val,10-19,0,829,0.0
1,val,20-29,0,77,0.0
1,val,30-39,0,17,0.0
1,val,40-49,0,5,0.0
1,val,50-59,0,3,0.0
1,val,60-69,0,2,0.0
2,val,0-9,0,2516,0.0
2,val,10-19,0,829,0.0
2,val,20-29,0,77,0.0
2,val,30-39,0,17,0.0
2,val,40-49,0,5,0.0
2,val,50-59,0,3,0.0
2,val,60-69,0,2,0.0
3,val,0-9,0,2516,0.0
3,val,10-19,0,829,0.0
3,val,20-29,0,77,0.0
3,val,30-39,0,17,0.0
3,val,40-49,0,5,0.0
3,val,50-59,0,3,0.0
3,val,60-69,0,2,0.0
4,val,0-9,0,2516,0.0
4,val,10-19,0,829,0.0
4,val,20-29,0,77,0.0
4,val,30-39,0,17,0.0
4,val,40-49,0,5,0.0
4,val,50-59,0,3,0.0
4,val,60-69,0,2,0.0
5,val,0-9,4,2516,0.001589825119236884
5,val,10-19,0,829,0.0
5,val,20-29,0,77,0.0
5,val,30-39,0,17,0.0
5,val,40-49,0,5,0.0
5,val,50-59,0,3,0.0
5,val,60-69,0,2,0.0
6,val,0-9,18,2516,0.007154213036565978
6,val,10-19,2,829,0.0024125452352231603
6,val,20-29,0,77,0.0
6,val,30-39,0,17,0.0
6,val,40-49,0,5,0.0
6,val,50-59,0,3,0.0
6,val,60-69,0,2,0.0
7,val,0-9,29,2516,0.011526232114467409
7,val,10-19,3,829,0.0036188178528347406
7,val,20-29,0,77,0.0
7,val,30-39,0,17,0.0
7,val,40-49,0,5,0.0
7,val,50-59,0,3,0.0
7,val,60-69,0,2,0.0
8,val,0-9,52,2516,0.02066772655007949
8,val,10-19,10,829,0.012062726176115802
8,val,20-29,0,77,0.0
8,val,30-39,0,17,0.0
8,val,40-49,0,5,0.0
8,val,50-59,0,3,0.0
8,val,60-69,0,2,0.0
9,val,0-9,74,2516,0.029411764705882353
9,val,10-19,8,829,0.009650180940892641
9,val,20-29,0,77,0.0
9,val,30-39,0,17,0.0
9,val,40-49,0,5,0.0
9,val,50-59,0,3,0.0
9,val,60-69,0,2,0.0
10,val,0-9,76,2516,0.030206677265500796
10,val,10-19,18,829,0.021712907117008445
10,val,20-29,0,77,0.0
10,val,30-39,0,17,0.0
10,val,40-49,0,5,0.0
10,val,50-59,0,3,0.0
10,val,60-69,0,2,0.0
11,val,0-9,104,2516,0.04133545310015898
11,val,10-19,15,829,0.018094089264173704
11,val,20-29,0,77,0.0
11,val,30-39,0,17,0.0
11,val,40-49,0,5,0.0
11,val,50-59,0,3,0.0
11,val,60-69,0,2,0.0
12,val,0-9,134,2516,0.05325914149443561
12,val,10-19,32,829,0.038600723763570564
12,val,20-29,0,77,0.0
12,val,30-39,0,17,0.0
12,val,40-49,0,5,0.0
12,val,50-59,0,3,0.0
12,val,60-69,0,2,0.0
13,val,0-9,163,2516,0.06478537360890302
13,val,10-19,48,829,0.05790108564535585
13,val,20-29,0,77,0.0
13,val,30-39,0,17,0.0
13,val,40-49,0,5,0.0
13,val,50-59,0,3,0.0
13,val,60-69,0,2,0.0
14,val,0-9,184,2516,0.07313195548489666
14,val,10-19,57,829,0.06875753920386007
14,val,20-29,0,77,0.0
14,val,30-39,0,17,0.0
14,val,40-49,0,5,0.0
14,val,50-59,0,3,0.0
14,val,60-69,0,2,0.0
15,val,0-9,242,2516,0.09618441971383147
15,val,10-19,60,829,0.07237635705669482
15,val,20-29,0,77,0.0
15,val,30-39,0,17,0.0
15,val,40-49,0,5,0.0
15,val,50-59,0,3,0.0
15,val,60-69,0,2,0.0
16,val,0-9,227,2516,0.09022257551669316
16,val,10-19,65,829,0.07840772014475271
16,val,20-29,0,77,0.0
16,val,30-39,0,17,0.0
16,val,40-49,0,5,0.0
16,val,50-59,0,3,0.0
16,val,60-69,0,2,0.0
17,val,0-9,260,2516,0.10333863275039745
17,val,10-19,71,829,0.0856453558504222
17,val,20-29,0,77,0.0
17,val,30-39,0,17,0.0
17,val,40-49,0,5,0.0
17,val,50-59,0,3,0.0
17,val,60-69,0,2,0.0
18,val,0-9,263,2516,0.10453100158982512
18,val,10-19,82,829,0.09891435464414958
18,val,20-29,0,77,0.0
18,val,30-39,0,17,0.0
18,val,40-49,0,5,0.0
18,val,50-59,0,3,0.0
18,val,60-69,0,2,0.0
19,val,0-9,328,2516,0.13036565977742448
19,val,10-19,99,829,0.11942098914354644
19,val,20-29,0,77,0.0
19,val,30-39,0,17,0.0
19,val,40-49,0,5,0.0
19,val,50-59,0,3,0.0
19,val,60-69,0,2,0.0
20,val,0-9,362,2516,0.143879173290938
20,val,10-19,104,829,0.12545235223160434
20,val,20-29,0,77,0.0
20,val,30-39,0,17,0.0
20,val,40-49,0,5,0.0
20,val,50-59,0,3,0.0
20,val,60-69,0,2,0.0
21,val,0-9,351,2516,0.13950715421303655
21,val,10-19,111,829,0.1338962605548854
21,val,20-29,0,77,0.0
21,val,30-39,0,17,0.0
21,val,40-49,0,5,0.0
21,val,50-59,0,3,0.0
21,val,60-69,0,2,0.0
22,val,0-9,385,2516,0.15302066772655007
22,val,10-19,112,829,0.13510253317249699
