source,target,prediction,exact_match,source_length,target_length,source_length_bucket,target_length_bucket,source_column
زرزب,zarzib,zarzab,False,4,6,0-9,0-9,arabic_stripped
الكخ أخو الخرا,2il kikh 2akhu 2ilkhara,2ilkhakh 2akhkhawaar 2ilkha,False,14,23,10-19,20-29,arabic_stripped
مقلب,maqlab,mqallib,False,4,6,0-9,0-9,arabic_stripped
اكدح,2ikda7,2ikda7,True,4,6,0-9,0-9,arabic_stripped
بطرخ,batrakh,batrikh,False,4,7,0-9,0-9,arabic_stripped
يئس,ya22is,y2iss,False,3,6,0-9,0-9,arabic_stripped
قحط,qa7at,qa77it,False,3,5,0-9,0-9,arabic_stripped
جريمة شرف,jariimit sharaf,jariime sharfe,False,9,15,0-9,10-19,arabic_stripped
وفق,waffiq,waffaq,False,3,6,0-9,0-9,arabic_stripped
حزب,7izib,7azzib,False,3,5,0-9,0-9,arabic_stripped
انفطم,2infitim,2infitim,True,5,8,0-9,0-9,arabic_stripped
خوابي,khawaabi,khawaabi,True,5,8,0-9,0-9,arabic_stripped
نواقص,nawaaqis,nawaaqis,True,5,8,0-9,0-9,arabic_stripped
يربعن,yrab3in,yrab3in,True,5,7,0-9,0-9,arabic_stripped
نواشف,nawaashif,nawaashif,True,5,9,0-9,0-9,arabic_stripped
شخار,shkhaar,shakhkhaar,False,4,7,0-9,0-9,arabic_stripped
ينكب,yinkabb,yinkab,False,4,7,0-9,0-9,arabic_stripped
قبضت,qabadit,qabdat,False,4,7,0-9,0-9,arabic_stripped
ليوا,leewa,liiwa,False,4,5,0-9,0-9,arabic_stripped
سرح,sara7,sarri7,False,3,5,0-9,0-9,arabic_stripped
وضع,wada3,wadda3,False,3,5,0-9,0-9,arabic_stripped
مبطوح,mabtuu7,mabtuu7,True,5,7,0-9,0-9,arabic_stripped
ترح,tarri7,tarri7,True,3,6,0-9,0-9,arabic_stripped
مألوف,ma2luuf,ma2luuf,True,5,7,0-9,0-9,arabic_stripped
اتفاجأ,2itfaaja2,2itfaaja2,True,6,9,0-9,0-9,arabic_stripped
شاعري,shaa3iri,shaa3iir,False,5,8,0-9,0-9,arabic_stripped
والد,waalid,waalid,True,4,6,0-9,0-9,arabic_stripped
يلوح,yilwi7,ylawwi7,False,4,6,0-9,0-9,arabic_stripped
مطحش,mta77ish,mta77ish,True,4,8,0-9,0-9,arabic_stripped
