k,total,hits,top_k_accuracy,length_type,length_bucket,evaluation_source_col
1,1000,505,0.505,overall,all,harakat_top_prediction
3,1000,761,0.761,overall,all,harakat_top_prediction
5,1000,821,0.821,overall,all,harakat_top_prediction
10,1000,875,0.875,overall,all,harakat_top_prediction
1,798,406,0.5087719298245614,source,0-9,harakat_top_prediction
1,190,99,0.5210526315789473,source,10-19,harakat_top_prediction
1,8,0,0.0,source,20-29,harakat_top_prediction
1,2,0,0.0,source,30-39,harakat_top_prediction
1,1,0,0.0,source,40-49,harakat_top_prediction
1,1,0,0.0,source,50-59,harakat_top_prediction
3,798,638,0.7994987468671679,source,0-9,harakat_top_prediction
3,190,123,0.6473684210526316,source,10-19,harakat_top_prediction
3,8,0,0.0,source,20-29,harakat_top_prediction
3,2,0,0.0,source,30-39,harakat_top_prediction
3,1,0,0.0,source,40-49,harakat_top_prediction
3,1,0,0.0,source,50-59,harakat_top_prediction
5,798,695,0.8709273182957393,source,0-9,harakat_top_prediction
5,190,126,0.6631578947368421,source,10-19,harakat_top_prediction
5,8,0,0.0,source,20-29,harakat_top_prediction
5,2,0,0.0,source,30-39,harakat_top_prediction
5,1,0,0.0,source,40-49,harakat_top_prediction
5,1,0,0.0,source,50-59,harakat_top_prediction
10,798,742,0.9298245614035088,source,0-9,harakat_top_prediction
10,190,132,0.6947368421052632,source,10-19,harakat_top_prediction
10,8,1,0.125,source,20-29,harakat_top_prediction
10,2,0,0.0,source,30-39,harakat_top_prediction
10,1,0,0.0,source,40-49,harakat_top_prediction
10,1,0,0.0,source,50-59,harakat_top_prediction
1,866,466,0.5381062355658198,target,0-9,harakat_top_prediction
1,111,39,0.35135135135135137,target,10-19,harakat_top_prediction
1,19,0,0.0,target,20-29,harakat_top_prediction
1,1,0,0.0,target,30-39,harakat_top_prediction
1,2,0,0.0,target,40-49,harakat_top_prediction
1,1,0,0.0,target,60-69,harakat_top_prediction
3,866,713,0.8233256351039261,target,0-9,harakat_top_prediction
3,111,48,0.43243243243243246,target,10-19,harakat_top_prediction
3,19,0,0.0,target,20-29,harakat_top_prediction
3,1,0,0.0,target,30-39,harakat_top_prediction
3,2,0,0.0,target,40-49,harakat_top_prediction
3,1,0,0.0,target,60-69,harakat_top_prediction
5,866,769,0.8879907621247113,target,0-9,harakat_top_prediction
5,111,52,0.46846846846846846,target,10-19,harakat_top_prediction
5,19,0,0.0,target,20-29,harakat_top_prediction
5,1,0,0.0,target,30-39,harakat_top_prediction
5,2,0,0.0,target,40-49,harakat_top_prediction
5,1,0,0.0,target,60-69,harakat_top_prediction
10,866,815,0.941108545034642,target,0-9,harakat_top_prediction
10,111,60,0.5405405405405406,target,10-19,harakat_top_prediction
10,19,0,0.0,target,20-29,harakat_top_prediction
10,1,0,0.0,target,30-39,harakat_top_prediction
10,2,0,0.0,target,40-49,harakat_top_prediction
10,1,0,0.0,target,60-69,harakat_top_prediction
