source,target,prediction,exact_match,source_length,target_length,source_length_bucket,target_length_bucket,source_column
زَرْزَب,zarzib,zarzab,False,7,6,0-9,0-9,levanti_harakat_prediction
الكَخّ أَخُو الخَرَا,2il kikh 2akhu 2ilkhara,2ilkhak 2ikhkhaaru,False,20,23,20-29,20-29,levanti_harakat_prediction
مِقْلَب,maqlab,mqallib,False,7,6,0-9,0-9,levanti_harakat_prediction
اِكْدَح,2ikda7,2ikda7,True,7,6,0-9,0-9,levanti_harakat_prediction
بطْرخ,batrakh,batrakh,True,5,7,0-9,0-9,levanti_harakat_prediction
يِئِس,ya22is,y2iss,False,5,6,0-9,0-9,levanti_harakat_prediction
قَحَط,qa7at,qa77it,False,5,5,0-9,0-9,levanti_harakat_prediction
جَرِيْمِة شَرَف,jariimit sharaf,jariime sharaf,False,15,15,10-19,10-19,levanti_harakat_prediction
وَفَّق,waffiq,waffaq,False,6,6,0-9,0-9,levanti_harakat_prediction
حِزِب,7izib,7azzib,False,5,5,0-9,0-9,levanti_harakat_prediction
اِنْفَطَم,2infitim,2infitim,True,9,8,0-9,0-9,levanti_harakat_prediction
خَوَابِي,khawaabi,khawaabi,True,8,8,0-9,0-9,levanti_harakat_prediction
نَوَاقِص,nawaaqis,nawaaqis,True,8,8,0-9,0-9,levanti_harakat_prediction
يربعِن,yrab3in,yrab3in,True,6,7,0-9,0-9,levanti_harakat_prediction
نَوَاشِف,nawaashif,nawaashif,True,8,9,0-9,0-9,levanti_harakat_prediction
شَخَّار,shkhaar,shakhkhaar,False,7,7,0-9,0-9,levanti_harakat_prediction
يِنْكِبّ,yinkabb,yinkib,False,8,7,0-9,0-9,levanti_harakat_prediction
قَبْضت,qabadit,qabdit,False,6,7,0-9,0-9,levanti_harakat_prediction
لَيُّوا,leewa,layya,False,7,5,0-9,0-9,levanti_harakat_prediction
سِرِح,sara7,sarri7,False,5,5,0-9,0-9,levanti_harakat_prediction
وِضِع,wada3,waddi3,False,5,5,0-9,0-9,levanti_harakat_prediction
مَبْطُوح,mabtuu7,mabtuu7,True,8,7,0-9,0-9,levanti_harakat_prediction
تْرِحّ,tarri7,tarra7,False,6,6,0-9,0-9,levanti_harakat_prediction
مَأْلُوْف,ma2luuf,ma2luuf,True,9,7,0-9,0-9,levanti_harakat_prediction
اِتْفَاجَأ,2itfaaja2,2itfaaja2,True,10,9,10-19,0-9,levanti_harakat_prediction
شَاعِرِي,shaa3iri,shaa3iri,True,8,8,0-9,0-9,levanti_harakat_prediction
وَالِد,waalid,waalid,True,6,6,0-9,0-9,levanti_harakat_prediction
يْلُوْح,yilwi7,yluu7,False,7,6,0-9,0-9,levanti_harakat_prediction
مِطَْحَش,mta77ish,mta77ish,True,8,8,0-9,0-9,levanti_harakat_prediction
فَاض,faad,faad,True,4,4,0-9,0-9,levanti_harakat_prediction
تُحْفِة,tu7fe,ta7fe,False,7,5,0-9,0-9,levanti_harakat_prediction
اِنْجَرَد,2injirid,2injarad,False,9,8,0-9,0-9,levanti_harakat_prediction
