source,target,prediction,exact_match,source_length,target_length,source_length_bucket,target_length_bucket,source_column
اِتْحَوَّط,2it7awwat,2it7awwat,True,10,9,10-19,0-9,arabic_harakat
مُغْتَرِب,mughtarib,mughtarib,True,9,9,0-9,0-9,arabic_harakat
يِنْسَدّ,yinsadd,yinsadd,True,8,7,0-9,0-9,arabic_harakat
اِتْلَصَّص,2itlassas,2itlassas,True,10,9,10-19,0-9,arabic_harakat
فَسْفَس,fasfas,fasfas,True,7,6,0-9,0-9,arabic_harakat
عُضُو,3udu,3udu,True,5,4,0-9,0-9,arabic_harakat
اِنْقَطَع الخَيط وفَرْطَت المِسْبَحَة,2inqata3il kheet wfartat 2ilmisba7a,2inqata3 2ilmata7 wilfartakha bista,False,37,35,30-39,30-39,arabic_harakat
يِتْفَرَّك,yitfarrak,yitfarrak,True,10,9,10-19,0-9,arabic_harakat
أَنْهَى,2anha,2anha,True,7,5,0-9,0-9,arabic_harakat
يُنْطُر,yuntur,yuntur,True,7,6,0-9,0-9,arabic_harakat
يسَافِر,ysaafir,ysaafir,True,7,7,0-9,0-9,arabic_harakat
شُرْطَة,shurta,shurta,True,7,6,0-9,0-9,arabic_harakat
أَبُو قَاتُول,2abu qaatuul,2abu qaatuul,True,13,12,10-19,10-19,arabic_harakat
رَمِّم,rammim,rammim,True,6,6,0-9,0-9,arabic_harakat
مْرَابِع,mraabi3,mraabi3,True,8,7,0-9,0-9,arabic_harakat
لَدْوِع,ladwi3,ladwi3,True,7,6,0-9,0-9,arabic_harakat
خَرْمَان,kharmaan,kharmaan,True,8,8,0-9,0-9,arabic_harakat
سِيرَج,siiraj,siiraj,True,6,6,0-9,0-9,arabic_harakat
حْسَاب شخصي,7saab shakhsi,7saab skhees,False,11,13,10-19,10-19,arabic_harakat
مْدَلْهِم,mdalhim,mdalhim,True,9,7,0-9,0-9,arabic_harakat
اُوصِي,2uusi,2uusi,True,6,5,0-9,0-9,arabic_harakat
وِجْهَة,wijha,wijha,True,7,5,0-9,0-9,arabic_harakat
فَشِّل,fashshil,fashshil,True,6,8,0-9,0-9,arabic_harakat
يلَقِّم,ylaqqim,ylaqqim,True,7,7,0-9,0-9,arabic_harakat
لَْسَانُه مِتْبَرِّي مِنُّه,lsano mitbarri minno,lasno min bitro mayib,False,27,20,20-29,20-29,arabic_harakat
زَهْرِي,zahri,zahri,True,7,5,0-9,0-9,arabic_harakat
دَسِيسَة,dasiisa,dasiise,False,8,7,0-9,0-9,arabic_harakat
من رَحِم المُعَانَاة,min ra7im 2almu3aana,min ra7amit 2il3umaan,False,20,20,20-29,20-29,arabic_harakat
اِكْذِب,2ikzib2ikdhib,2izkib,False,7,13,0-9,10-19,arabic_harakat
رَاد,raad,raad,True,4,4,0-9,0-9,arabic_harakat
أَوَاعِي,2awaa3i,2awaa3i,True,8,7,0-9,0-9,arabic_harakat
قَشْعَر,qash3ar,qash3ar,True,7,7,0-9,0-9,arabic_harakat
غَزَّز,ghazzaz,ghazzaz,True,6,7,0-9,0-9,arabic_harakat
سَاكِك,saakik,saakik,True,6,6,0-9,0-9,arabic_harakat
يِنْدَبّ,yindabb,yindabb,True,8,7,0-9,0-9,arabic_harakat
هَبِد,habid,habid,True,5,5,0-9,0-9,arabic_harakat
هَبْرِج,habrij,habrij,True,7,6,0-9,0-9,arabic_harakat
مْحَمْرِق,m7amriqk,m7amriq,False,9,8,0-9,0-9,arabic_harakat
اِتْحَادَق,2it7aadaqg,2it7aadaq,False,10,10,10-19,10-19,arabic_harakat
اِبْرَد,2ibrad,2ibrad,True,7,6,0-9,0-9,arabic_harakat
عَرْطَة,3arta,3arta,True,7,5,0-9,0-9,arabic_harakat
مُنْتَصِر,muntasir,muntasir,True,9,8,0-9,0-9,arabic_harakat
أَغْطِيِة,2aghtiye,2aghtiye,True,9,8,0-9,0-9,arabic_harakat
يِكْمَل,yikmal,yikmal,True,7,6,0-9,0-9,arabic_harakat
بِلْهَا وَاِشْرَب مَيِّتْهَا,billha wu2ishrab mayyitha,bilhawa tshabiir msha,False,28,25,20-29,20-29,arabic_harakat
اِنْوِهِب,2inwihib,2inwihib,True,9,8,0-9,0-9,arabic_harakat
يلَمِّع,ylammi3,ylammi3,True,7,7,0-9,0-9,arabic_harakat
اِقْرِن,2iqrin,2iqrin,True,7,6,0-9,0-9,arabic_harakat
أَوبَّا الزَيد,2ubba 2izzeed,2awbaal 2izzeed,False,14,13,10-19,10-19,arabic_harakat
اِنْقَطّ,2inqatt,2inqatt,True,8,7,0-9,0-9,arabic_harakat
تَمَكُّن,tamakkun,tamakkun,True,8,8,0-9,0-9,arabic_harakat
يِسْتَرِقّ,yistariqq,yistariqq,True,10,9,10-19,0-9,arabic_harakat
اِرْغِي,2irghi,2irghi,True,7,6,0-9,0-9,arabic_harakat
سَفْلَقَة,saflaqa,saflaqa,True,9,7,0-9,0-9,arabic_harakat
لَعِّب,la33ib,la33ib,True,6,6,0-9,0-9,arabic_harakat
