k,total,hits,top_k_accuracy,length_type,length_bucket,evaluation_source_col
1,1000,506,0.506,overall,all,levanti_harakat_prediction
3,1000,781,0.781,overall,all,levanti_harakat_prediction
5,1000,840,0.84,overall,all,levanti_harakat_prediction
10,1000,886,0.886,overall,all,levanti_harakat_prediction
1,776,406,0.5231958762886598,source,0-9,levanti_harakat_prediction
1,188,100,0.5319148936170213,source,10-19,levanti_harakat_prediction
1,1,0,0.0,source,110-119,levanti_harakat_prediction
1,29,0,0.0,source,20-29,levanti_harakat_prediction
1,5,0,0.0,source,30-39,levanti_harakat_prediction
1,1,0,0.0,source,70-79,levanti_harakat_prediction
3,776,653,0.8414948453608248,source,0-9,levanti_harakat_prediction
3,188,128,0.6808510638297872,source,10-19,levanti_harakat_prediction
3,1,0,0.0,source,110-119,levanti_harakat_prediction
3,29,0,0.0,source,20-29,levanti_harakat_prediction
3,5,0,0.0,source,30-39,levanti_harakat_prediction
3,1,0,0.0,source,70-79,levanti_harakat_prediction
5,776,707,0.9110824742268041,source,0-9,levanti_harakat_prediction
5,188,132,0.7021276595744681,source,10-19,levanti_harakat_prediction
5,1,0,0.0,source,110-119,levanti_harakat_prediction
5,29,1,0.034482758620689655,source,20-29,levanti_harakat_prediction
5,5,0,0.0,source,30-39,levanti_harakat_prediction
5,1,0,0.0,source,70-79,levanti_harakat_prediction
10,776,746,0.961340206185567,source,0-9,levanti_harakat_prediction
10,188,139,0.7393617021276596,source,10-19,levanti_harakat_prediction
10,1,0,0.0,source,110-119,levanti_harakat_prediction
10,29,1,0.034482758620689655,source,20-29,levanti_harakat_prediction
10,5,0,0.0,source,30-39,levanti_harakat_prediction
10,1,0,0.0,source,70-79,levanti_harakat_prediction
1,855,466,0.5450292397660819,target,0-9,levanti_harakat_prediction
1,116,40,0.3448275862068966,target,10-19,levanti_harakat_prediction
1,1,0,0.0,target,100-109,levanti_harakat_prediction
1,25,0,0.0,target,20-29,levanti_harakat_prediction
1,2,0,0.0,target,30-39,levanti_harakat_prediction
1,1,0,0.0,target,60-69,levanti_harakat_prediction
3,855,727,0.8502923976608188,target,0-9,levanti_harakat_prediction
3,116,54,0.46551724137931033,target,10-19,levanti_harakat_prediction
3,1,0,0.0,target,100-109,levanti_harakat_prediction
3,25,0,0.0,target,20-29,levanti_harakat_prediction
3,2,0,0.0,target,30-39,levanti_harakat_prediction
3,1,0,0.0,target,60-69,levanti_harakat_prediction
5,855,782,0.9146198830409357,target,0-9,levanti_harakat_prediction
5,116,58,0.5,target,10-19,levanti_harakat_prediction
5,1,0,0.0,target,100-109,levanti_harakat_prediction
5,25,0,0.0,target,20-29,levanti_harakat_prediction
5,2,0,0.0,target,30-39,levanti_harakat_prediction
5,1,0,0.0,target,60-69,levanti_harakat_prediction
10,855,821,0.960233918128655,target,0-9,levanti_harakat_prediction
10,116,65,0.5603448275862069,target,10-19,levanti_harakat_prediction
10,1,0,0.0,target,100-109,levanti_harakat_prediction
10,25,0,0.0,target,20-29,levanti_harakat_prediction
10,2,0,0.0,target,30-39,levanti_harakat_prediction
10,1,0,0.0,target,60-69,levanti_harakat_prediction
