source,target,prediction,exact_match,source_length,target_length,source_length_bucket,target_length_bucket,source_column
يزَرْزِب,yzarzib,yzarzib,True,8,7,0-9,0-9,harakat_top_prediction
الكِخّ أَخُو الخَرَا,2il kikh 2akhu 2ilkhara,2ilkikhkir 2ikhsaawak,False,20,23,20-29,20-29,harakat_top_prediction
اِنْقِلَاب,2inqilaab,2inqilaab,True,10,9,10-19,0-9,harakat_top_prediction
يِكْدَح,yikda7,ykaddi7,False,7,6,0-9,0-9,harakat_top_prediction
بَطْرِخ,batrakh,batrikh,False,7,7,0-9,0-9,harakat_top_prediction
سِن أَلَاسِي,sinn 2ilya2s,sin 2asaali,False,12,12,10-19,10-19,harakat_top_prediction
قَحَط,qa77at,qa77it,False,5,6,0-9,0-9,harakat_top_prediction
شَرَف,sharrif,sharrif,True,5,7,0-9,0-9,harakat_top_prediction
بَالتَّوْفِيق,bittawfiiq,bitlawwaqi,False,13,10,10-19,10-19,harakat_top_prediction
حَزَّب,7izib,7azzib,False,6,5,0-9,0-9,harakat_top_prediction
يُفْطُم,yiftum,yiftum,True,7,6,0-9,0-9,harakat_top_prediction
مَخْبَأ,makhba2,mkhabba2,False,7,7,0-9,0-9,harakat_top_prediction
نْقِيصَة,nqiisa,nqiise,False,8,6,0-9,0-9,harakat_top_prediction
يرَابِع,yraabi3,yraabi3,True,7,7,0-9,0-9,harakat_top_prediction
مَنَاشِف,manaashif,manaashif,True,8,9,0-9,0-9,harakat_top_prediction
شَخْوَرَة,shakhwara,shakhwara,True,9,9,0-9,0-9,harakat_top_prediction
مَكْبُوت,makbuut,makbuut,True,8,7,0-9,0-9,harakat_top_prediction
اُقْبُض,2uqbud,2uqbud,True,7,6,0-9,0-9,harakat_top_prediction
لَولَا,loola,lawa,False,6,5,0-9,0-9,harakat_top_prediction
تْسَرَّح,tsarra7,tsarra7,True,8,7,0-9,0-9,harakat_top_prediction
يِتْوَاضَع,yitwaada3,yitwaada3,True,10,9,10-19,0-9,harakat_top_prediction
مَبْطُوح,mabtuu7,mabtuu7,True,8,7,0-9,0-9,harakat_top_prediction
تَرَح,tarri7,tarri7,True,5,6,0-9,0-9,harakat_top_prediction
مَأْلُوف,ma2luuf,ma2luuf,True,8,7,0-9,0-9,harakat_top_prediction
يِتْفَاجَأ,yitfaaja2,yitfaaja2,True,10,9,10-19,0-9,harakat_top_prediction
مْشَعَّر,msha33ir,msha33ar,False,8,8,0-9,0-9,harakat_top_prediction
وَلَّد,walad,wallad,False,6,5,0-9,0-9,harakat_top_prediction
إِلْتَوَح,2iltawa7,2iltawa7,True,9,8,0-9,0-9,harakat_top_prediction
طَحَش,ta77ish,ta7ash,False,5,7,0-9,0-9,harakat_top_prediction
فَايِع,faayi3,faayi3,True,6,6,0-9,0-9,harakat_top_prediction
تَحْفِة,tu7fe,ta7fe,False,7,5,0-9,0-9,harakat_top_prediction
اِنْجَرَد,2injirid,2injarad,False,9,8,0-9,0-9,harakat_top_prediction
قَات,qaat,qaat,True,4,4,0-9,0-9,harakat_top_prediction
لَا رقيب ولَا حسيب,laa raqiib wala 7asiib,laa raqq bil7ab waasi biil7aas,False,18,22,10-19,20-29,harakat_top_prediction
اِنْعِقِد,2in3aqad,2in3aqad,True,9,8,0-9,0-9,harakat_top_prediction
جَاع,jaa3,djaa3,False,4,4,0-9,0-9,harakat_top_prediction
يِقْتِنِع,yiqtini3,yiqtini3,True,9,8,0-9,0-9,harakat_top_prediction
أَضْرَط,2adrat,2adrat,True,7,6,0-9,0-9,harakat_top_prediction
يتِفّ,ytiff,ytiff,True,5,5,0-9,0-9,harakat_top_prediction
كْلَام,kalaam,klaam,False,6,6,0-9,0-9,harakat_top_prediction
اِتْنَوْرَن,2itnawran,2itnawran,True,11,9,10-19,0-9,harakat_top_prediction
بَوشِة مَلَّح,booshit mili7,booshit malla7,False,13,13,10-19,10-19,harakat_top_prediction
نَسِيم,nasiim,nasiim,True,6,6,0-9,0-9,harakat_top_prediction
ذَهَب,dahhab,dahhib,False,5,6,0-9,0-9,harakat_top_prediction
نَاضِب,naadib,naadib,True,6,6,0-9,0-9,harakat_top_prediction
اُنْغُز,2inghuz,2unghuz,False,7,7,0-9,0-9,harakat_top_prediction
طَبْعَة,tub3a,tab3a,False,7,5,0-9,0-9,harakat_top_prediction
زَائِر,zaa2ir,zaa2ir,True,6,6,0-9,0-9,harakat_top_prediction
حَلَّق,7allaq,7allaq,True,6,6,0-9,0-9,harakat_top_prediction
اِخْدَرّ,2ikhdar,2ikhdarr,False,8,7,0-9,0-9,harakat_top_prediction
تْشَفْشَف,tshifshif,tshafshaf,False,9,9,0-9,0-9,harakat_top_prediction
