k,total,hits,top_k_accuracy,length_type,length_bucket,evaluation_source_col
1,1000,84,0.084,overall,all,arabic_stripped
3,1000,168,0.168,overall,all,arabic_stripped
5,1000,220,0.22,overall,all,arabic_stripped
10,1000,309,0.309,overall,all,arabic_stripped
1,944,83,0.08792372881355932,source,0-9,arabic_stripped
1,49,1,0.02040816326530612,source,10-19,arabic_stripped
1,4,0,0.0,source,20-29,arabic_stripped
1,3,0,0.0,source,30-39,arabic_stripped
3,944,165,0.17478813559322035,source,0-9,arabic_stripped
3,49,3,0.061224489795918366,source,10-19,arabic_stripped
3,4,0,0.0,source,20-29,arabic_stripped
3,3,0,0.0,source,30-39,arabic_stripped
5,944,217,0.2298728813559322,source,0-9,arabic_stripped
5,49,3,0.061224489795918366,source,10-19,arabic_stripped
5,4,0,0.0,source,20-29,arabic_stripped
5,3,0,0.0,source,30-39,arabic_stripped
10,944,306,0.3241525423728814,source,0-9,arabic_stripped
10,49,3,0.061224489795918366,source,10-19,arabic_stripped
10,4,0,0.0,source,20-29,arabic_stripped
10,3,0,0.0,source,30-39,arabic_stripped
1,872,81,0.09288990825688073,target,0-9,arabic_stripped
1,111,3,0.02702702702702703,target,10-19,arabic_stripped
1,11,0,0.0,target,20-29,arabic_stripped
1,3,0,0.0,target,30-39,arabic_stripped
1,3,0,0.0,target,40-49,arabic_stripped
3,872,160,0.1834862385321101,target,0-9,arabic_stripped
3,111,8,0.07207207207207207,target,10-19,arabic_stripped
3,11,0,0.0,target,20-29,arabic_stripped
3,3,0,0.0,target,30-39,arabic_stripped
3,3,0,0.0,target,40-49,arabic_stripped
5,872,210,0.2408256880733945,target,0-9,arabic_stripped
5,111,10,0.09009009009009009,target,10-19,arabic_stripped
5,11,0,0.0,target,20-29,arabic_stripped
5,3,0,0.0,target,30-39,arabic_stripped
5,3,0,0.0,target,40-49,arabic_stripped
10,872,297,0.34059633027522934,target,0-9,arabic_stripped
10,111,12,0.10810810810810811,target,10-19,arabic_stripped
10,11,0,0.0,target,20-29,arabic_stripped
10,3,0,0.0,target,30-39,arabic_stripped
10,3,0,0.0,target,40-49,arabic_stripped
